product,winkel,categorie
Bananen,Digros,Groente & fruit
Appels (Elstar/Jonagold),Digros,Groente & fruit
Sla,Digros,Groente & fruit
Bloemkool,Digros,Groente & fruit
Sperziebonen 500g+,Digros,Groente & fruit
Cherrytomaatjes,Digros,Groente & fruit
Champignons,Digros,Groente & fruit
Zak pizzagroenten,Digros,Groente & fruit
Uien (zak),Digros,Groente & fruit
Hamburgerbroodjes,Digros,Brood & bakkerij
Ontbijtkoek volkoren,Digros,Brood & bakkerij
Donut,Digros,Brood & bakkerij
Melk (1 groot + 2 klein),Digros,Zuivel & gekoeld
Vla,Digros,Zuivel & gekoeld
Yoghurt,Digros,Zuivel & gekoeld
Tiramisu,Digros,Zuivel & gekoeld
Slagroom,Digros,Zuivel & gekoeld
Creme fraiche,Digros,Zuivel & gekoeld
Kaas,Digros,Zuivel & gekoeld
Geraspte kaas,Digros,Zuivel & gekoeld
Eieren,Digros,Zuivel & gekoeld
1 kilo halfom gehakt,Digros,Vlees & vis
Pizzakit,Digros,Houdbaar
Paneermeel,Digros,Houdbaar
Witte rijst,Digros,Houdbaar
Ananas in blik,Digros,Houdbaar
Augurk,Digros,Houdbaar
Pastasaus Grand Italia Tradizionale,Digros,Houdbaar
Volkoren luchtige crackers kindjes,Digros,Snacks & drinken
Paprikachips,Digros,Snacks & drinken
Zak cranberry noten,Digros,Snacks & drinken
Frisdrank (spa rood / cola zero / sprite),Digros,Snacks & drinken
Baby potjes,Digros,Baby
Aviko oma's smulfriet,Digros,Diepvries
Zoete aardappel wedges,Digros,Diepvries
Bladerdeegplakjes,Digros,Diepvries
Mandarijnen,Albert Heijn,Groente & fruit
Hondenbrokken,Albert Heijn,Huisdier
Tempe ketjap (2 bakjes),Albert Heijn,Vlees & vis
Fristie, Digros, Houdbaar
Olijfolie, Digros, Houdbaar
limonadesiroop, Digros, Houdbaar
